operating_field_name,soil_color,cloud_cover,n_images,Pixlmetric_precision_0,Pixlmetric_precision_1,Pixlmetric_precision_2,PixelMetric_recall_0,PixelMetric_recall_1,PixelMetric_recall_2,PixelMetric_f_score_0,PixelMetric_f_score_1,PixelMetric_f_score_2,GridMetric_instance_recall,GridMetric_instance_precision,GridMetric_instance_fscore
church,LIGHT,CLEAR,518,0.95863,0.77399,0.8707,0.98521,0.45221,0.84143,0.971738273,0.570879168,0.855814805,0.96331,0.99727,0.9799958825
taylor,LIGHT,CLEAR,548,0.98534,0.86793,0.88326,0.98605,0.3781,0.9047,0.9856948721,0.5267358458,0.8938514531,0.83982,0.96379,0.8975445
dariy barns,LIGHT,CLEAR,545,0.98928,0.87967,0.90414,0.98946,0.61074,0.91018,0.9893699918,0.7209420975,0.9071499462,0.43029,0.93393,0.5891435981
Pauls/home,LIGHT,OVERCAST,468,0.98346,0.77411,0.89901,0.98577,0.50025,0.92412,0.9846136451,0.6077537391,0.9113920798,0.83966,0.92488,0.8802121128
Boies Bend North,LIGHT,OVERCAST,247,0.97954,0.82141,0.83587,0.99099,0.23569,0.84091,0.9852317342,0.3662815683,0.8383824255,0.81757,0.99462,0.8974461545
cementary (filterd),LIGHT,OVERCAST,502,0.98479,0.83158,0.88963,0.9902,0.46124,0.90293,0.9874875903,0.5933663761,0.89623066,0.85442,0.99373,0.9188245398
c72,DARK,CLEAR,485,0.99435,0.69936,0.82033,0.99678,0.15345,0.73216,0.9955635172,0.2516780807,0.7737412966,0.18121,0.65,0.283409728
Agronomy Strip Trials,DARK,CLEAR,306,0.9823,0.89926,0.92049,0.9807,0.64906,0.94122,0.9814993479,0.7539445277,0.9307395865,0.9186,0.99092,0.9533904981
JDTIC,DARK,CLEAR,829,0.9527,0.89391,0.93902,0.96278,0.57119,0.9636,0.9577134776,0.6970069659,0.9511512252,0.90897,0.98507,0.9454912018
121,DARK,OVERCAST,352,0.98651,0.89012,0.81191,0.99045,0.5664,0.84187,0.9884760739,0.6922856782,0.8266186212,0.69642,0.89639,0.7838523412
Kenyon east,DARK,OVERCAST,235,0.98351,0.90511,0.88349,0.9837,0.64443,0.90826,0.9836049908,0.7528428273,0.8957037839,0.85021,0.98762,0.9137780972
across from shop,DARK,OVERCAST,243,0.99551,0.87807,0.8686,0.9941,0.36912,0.90445,0.9948045004,0.5197495143,0.8861625673,0.46405,0.98571,0.6310268258